,Date,Search Popularity,Location
0,2020-01-01,0,US-CA
1,2020-01-02,0,US-CA
2,2020-01-03,0,US-CA
3,2020-01-04,0,US-CA
4,2020-01-05,0,US-CA
5,2020-01-06,0,US-CA
6,2020-01-07,0,US-CA
7,2020-01-08,0,US-CA
8,2020-01-09,0,US-CA
9,2020-01-10,0,US-CA
10,2020-01-11,0,US-CA
11,2020-01-12,0,US-CA
12,2020-01-13,0,US-CA
13,2020-01-14,0,US-CA
14,2020-01-15,0,US-CA
15,2020-01-16,0,US-CA
16,2020-01-17,1,US-CA
17,2020-01-18,2,US-CA
18,2020-01-19,1,US-CA
19,2020-01-20,2,US-CA
20,2020-01-21,16,US-CA
21,2020-01-22,22,US-CA
22,2020-01-23,30,US-CA
23,2020-01-24,47,US-CA
24,2020-01-25,56,US-CA
25,2020-01-26,90,US-CA
26,2020-01-27,90,US-CA
27,2020-01-28,100,US-CA
28,2020-01-29,94,US-CA
29,2020-01-30,91,US-CA
30,2020-01-31,94,US-CA
31,2020-02-01,62,US-CA
32,2020-02-02,45,US-CA
33,2020-02-03,44,US-CA
34,2020-02-04,38,US-CA
35,2020-02-05,34,US-CA
36,2020-02-06,36,US-CA
37,2020-02-07,36,US-CA
38,2020-02-08,36,US-CA
39,2020-02-09,30,US-CA
40,2020-02-10,29,US-CA
41,2020-02-11,32,US-CA
42,2020-02-12,24,US-CA
43,2020-02-13,27,US-CA
44,2020-02-14,23,US-CA
45,2020-02-15,22,US-CA
46,2020-02-16,21,US-CA
47,2020-02-17,22,US-CA
48,2020-02-18,21,US-CA
49,2020-02-19,19,US-CA
50,2020-02-20,18,US-CA
51,2020-02-21,21,US-CA
52,2020-02-22,27,US-CA
53,2020-02-23,28,US-CA
54,2020-02-24,38,US-CA
55,2020-02-25,51,US-CA
56,2020-02-26,75,US-CA
57,2020-02-27,100,US-CA
58,2020-02-28,98,US-CA
59,2020-03-01,22,US-CA
60,2020-03-02,27,US-CA
61,2020-03-03,26,US-CA
62,2020-03-04,30,US-CA
63,2020-03-05,36,US-CA
64,2020-03-06,36,US-CA
65,2020-03-07,35,US-CA
66,2020-03-08,33,US-CA
67,2020-03-09,39,US-CA
68,2020-03-10,45,US-CA
69,2020-03-11,52,US-CA
70,2020-03-12,96,US-CA
71,2020-03-13,89,US-CA
72,2020-03-14,86,US-CA
73,2020-03-15,99,US-CA
74,2020-03-16,100,US-CA
75,2020-03-17,88,US-CA
76,2020-03-18,81,US-CA
77,2020-03-19,75,US-CA
78,2020-03-20,81,US-CA
79,2020-03-21,74,US-CA
80,2020-03-22,76,US-CA
81,2020-03-23,70,US-CA
82,2020-03-24,63,US-CA
83,2020-03-25,59,US-CA
84,2020-03-26,61,US-CA
85,2020-03-27,63,US-CA
86,2020-03-28,62,US-CA
87,2020-03-29,60,US-CA
88,2020-03-30,53,US-CA
89,2020-03-31,49,US-CA
90,2020-04-01,77,US-CA
91,2020-04-02,74,US-CA
92,2020-04-03,95,US-CA
93,2020-04-04,99,US-CA
94,2020-04-05,100,US-CA
95,2020-04-06,99,US-CA
96,2020-04-07,95,US-CA
97,2020-04-08,87,US-CA
98,2020-04-09,83,US-CA
99,2020-04-10,79,US-CA
100,2020-04-11,61,US-CA
101,2020-04-12,51,US-CA
102,2020-04-13,71,US-CA
103,2020-04-14,76,US-CA
104,2020-04-15,71,US-CA
105,2020-04-16,66,US-CA
106,2020-04-17,69,US-CA
107,2020-04-18,73,US-CA
108,2020-04-19,52,US-CA
109,2020-04-20,60,US-CA
110,2020-04-21,64,US-CA
111,2020-04-22,43,US-CA
112,2020-04-23,58,US-CA
113,2020-04-24,62,US-CA
114,2020-04-25,43,US-CA
115,2020-04-26,34,US-CA
116,2020-04-27,35,US-CA
117,2020-04-28,32,US-CA
118,2020-04-29,31,US-CA
119,2020-04-30,29,US-CA
120,2020-05-01,97,US-CA
121,2020-05-02,100,US-CA
122,2020-05-03,97,US-CA
123,2020-05-04,99,US-CA
124,2020-05-05,92,US-CA
125,2020-05-06,87,US-CA
126,2020-05-07,88,US-CA
127,2020-05-08,80,US-CA
128,2020-05-09,86,US-CA
129,2020-05-10,84,US-CA
130,2020-05-11,85,US-CA
131,2020-05-12,88,US-CA
132,2020-05-13,84,US-CA
133,2020-05-14,81,US-CA
134,2020-05-15,77,US-CA
135,2020-05-16,81,US-CA
136,2020-05-17,79,US-CA
137,2020-05-18,79,US-CA
138,2020-05-19,66,US-CA
139,2020-05-20,64,US-CA
140,2020-05-21,67,US-CA
141,2020-05-22,61,US-CA
142,2020-05-23,63,US-CA
143,2020-05-24,65,US-CA
144,2020-05-25,66,US-CA
145,2020-05-26,67,US-CA
146,2020-05-27,63,US-CA
147,2020-05-28,56,US-CA
148,2020-05-29,51,US-CA
149,2020-05-30,49,US-CA
150,2020-05-31,44,US-CA
151,2020-06-01,60,US-CA
152,2020-06-02,58,US-CA
153,2020-06-03,57,US-CA
154,2020-06-04,57,US-CA
155,2020-06-05,61,US-CA
156,2020-06-06,60,US-CA
157,2020-06-07,60,US-CA
158,2020-06-08,63,US-CA
159,2020-06-09,64,US-CA
160,2020-06-10,67,US-CA
161,2020-06-11,65,US-CA
162,2020-06-12,63,US-CA
163,2020-06-13,61,US-CA
164,2020-06-14,60,US-CA
165,2020-06-15,65,US-CA
166,2020-06-16,62,US-CA
167,2020-06-17,63,US-CA
168,2020-06-18,64,US-CA
169,2020-06-19,66,US-CA
170,2020-06-20,64,US-CA
171,2020-06-21,61,US-CA
172,2020-06-22,71,US-CA
173,2020-06-23,70,US-CA
174,2020-06-24,80,US-CA
175,2020-06-25,88,US-CA
176,2020-06-26,97,US-CA
177,2020-06-27,92,US-CA
178,2020-06-28,87,US-CA
179,2020-06-29,90,US-CA
180,2020-06-30,100,US-CA
181,2020-07-01,97,US-CA
182,2020-07-02,93,US-CA
183,2020-07-03,83,US-CA
184,2020-07-04,79,US-CA
185,2020-07-05,77,US-CA
186,2020-07-06,83,US-CA
187,2020-07-07,81,US-CA
188,2020-07-08,80,US-CA
189,2020-07-09,75,US-CA
190,2020-07-10,77,US-CA
191,2020-07-11,76,US-CA
192,2020-07-12,75,US-CA
193,2020-07-13,100,US-CA
194,2020-07-14,100,US-CA
195,2020-07-15,76,US-CA
196,2020-07-16,67,US-CA
197,2020-07-17,67,US-CA
198,2020-07-18,61,US-CA
199,2020-07-19,62,US-CA
200,2020-07-20,62,US-CA
201,2020-07-21,60,US-CA
202,2020-07-22,60,US-CA
203,2020-07-23,57,US-CA
204,2020-07-24,53,US-CA
205,2020-07-25,49,US-CA
206,2020-07-26,52,US-CA
207,2020-07-27,54,US-CA
208,2020-07-28,49,US-CA
209,2020-07-29,51,US-CA
210,2020-07-30,49,US-CA
211,2020-07-31,47,US-CA
212,2020-08-01,94,US-CA
213,2020-08-02,100,US-CA
214,2020-08-03,94,US-CA
215,2020-08-04,94,US-CA
216,2020-08-05,91,US-CA
217,2020-08-06,86,US-CA
218,2020-08-07,88,US-CA
219,2020-08-08,84,US-CA
220,2020-08-09,86,US-CA
221,2020-08-10,82,US-CA
222,2020-08-11,79,US-CA
223,2020-08-12,75,US-CA
224,2020-08-13,76,US-CA
225,2020-08-14,73,US-CA
226,2020-08-15,71,US-CA
227,2020-08-16,70,US-CA
228,2020-08-17,66,US-CA
229,2020-08-18,68,US-CA
230,2020-08-19,62,US-CA
231,2020-08-20,56,US-CA
232,2020-08-21,57,US-CA
233,2020-08-22,59,US-CA
234,2020-08-23,60,US-CA
235,2020-08-24,55,US-CA
236,2020-08-25,56,US-CA
237,2020-08-26,53,US-CA
238,2020-08-27,54,US-CA
239,2020-08-28,59,US-CA
240,2020-08-29,59,US-CA
241,2020-08-30,63,US-CA
242,2020-08-31,63,US-CA
243,2020-09-01,100,US-CA
244,2020-09-02,95,US-CA
245,2020-09-03,97,US-CA
246,2020-09-04,87,US-CA
247,2020-09-05,92,US-CA
248,2020-09-06,86,US-CA
249,2020-09-07,91,US-CA
250,2020-09-08,94,US-CA
251,2020-09-09,94,US-CA
252,2020-09-10,91,US-CA
253,2020-09-11,87,US-CA
254,2020-09-12,87,US-CA
255,2020-09-13,79,US-CA
256,2020-09-14,85,US-CA
257,2020-09-15,85,US-CA
258,2020-09-16,88,US-CA
259,2020-09-17,87,US-CA
260,2020-09-18,80,US-CA
261,2020-09-19,76,US-CA
262,2020-09-20,82,US-CA
263,2020-09-21,91,US-CA
264,2020-09-22,94,US-CA
265,2020-09-23,85,US-CA
266,2020-09-24,75,US-CA
267,2020-09-25,78,US-CA
268,2020-09-26,81,US-CA
269,2020-09-27,73,US-CA
270,2020-09-28,78,US-CA
271,2020-09-29,84,US-CA
