,Date,Location,Search: antibody
0,1,US-UT,100
1,2,US-UT,0
2,3,US-UT,0
3,4,US-UT,0
4,5,US-UT,0
5,6,US-UT,0
6,7,US-UT,85
7,8,US-UT,0
8,9,US-UT,0
9,10,US-UT,0
10,11,US-UT,0
11,12,US-UT,0
12,13,US-UT,0
13,14,US-UT,0
14,15,US-UT,0
15,16,US-UT,87
16,17,US-UT,0
17,18,US-UT,0
18,19,US-UT,98
19,20,US-UT,0
20,21,US-UT,0
21,22,US-UT,0
22,23,US-UT,85
23,24,US-UT,85
24,25,US-UT,98
25,26,US-UT,0
26,27,US-UT,0
27,28,US-UT,0
28,29,US-UT,85
29,30,US-UT,0
30,31,US-UT,0
31,32,US-UT,41
32,33,US-UT,0
33,34,US-UT,0
34,35,US-UT,0
35,36,US-UT,35
36,37,US-UT,36
37,38,US-UT,0
38,39,US-UT,0
39,40,US-UT,0
40,41,US-UT,0
41,42,US-UT,0
42,43,US-UT,0
43,44,US-UT,0
44,45,US-UT,0
45,46,US-UT,0
46,47,US-UT,0
47,48,US-UT,0
48,49,US-UT,0
49,50,US-UT,0
50,51,US-UT,100
51,52,US-UT,0
52,53,US-UT,0
53,54,US-UT,0
54,55,US-UT,33
55,56,US-UT,32
56,57,US-UT,0
57,58,US-UT,65
58,59,US-UT,0
59,60,US-UT,0
60,61,US-UT,0
61,62,US-UT,0
62,63,US-UT,90
63,64,US-UT,0
64,65,US-UT,0
65,66,US-UT,0
66,67,US-UT,0
67,68,US-UT,0
68,69,US-UT,0
69,70,US-UT,0
70,71,US-UT,89
71,72,US-UT,0
72,73,US-UT,0
73,74,US-UT,0
74,75,US-UT,0
75,76,US-UT,89
76,77,US-UT,0
77,78,US-UT,0
78,79,US-UT,0
79,80,US-UT,83
80,81,US-UT,100
81,82,US-UT,0
82,83,US-UT,0
83,84,US-UT,0
84,85,US-UT,0
85,86,US-UT,80
86,87,US-UT,79
87,88,US-UT,0
88,89,US-UT,99
89,90,US-UT,82
90,91,US-UT,0
91,92,US-UT,16
92,93,US-UT,32
93,94,US-UT,17
94,95,US-UT,19
95,96,US-UT,19
96,97,US-UT,33
97,98,US-UT,35
98,99,US-UT,0
99,100,US-UT,17
100,101,US-UT,36
101,102,US-UT,20
102,103,US-UT,0
103,104,US-UT,83
104,105,US-UT,32
105,106,US-UT,46
106,107,US-UT,46
107,108,US-UT,16
108,109,US-UT,38
109,110,US-UT,19
110,111,US-UT,81
111,112,US-UT,65
112,113,US-UT,99
113,114,US-UT,79
114,115,US-UT,100
115,116,US-UT,20
116,117,US-UT,60
117,118,US-UT,81
118,119,US-UT,82
119,120,US-UT,66
120,121,US-UT,62
121,122,US-UT,64
122,123,US-UT,29
123,124,US-UT,77
124,125,US-UT,100
125,126,US-UT,83
126,127,US-UT,63
127,128,US-UT,13
128,129,US-UT,65
129,130,US-UT,46
130,131,US-UT,32
131,132,US-UT,64
132,133,US-UT,50
133,134,US-UT,76
134,135,US-UT,0
135,136,US-UT,39
136,137,US-UT,31
137,138,US-UT,16
138,139,US-UT,26
139,140,US-UT,26
140,141,US-UT,26
141,142,US-UT,80
142,143,US-UT,55
143,144,US-UT,47
144,145,US-UT,0
145,146,US-UT,16
146,147,US-UT,41
147,148,US-UT,66
148,149,US-UT,39
149,150,US-UT,27
150,151,US-UT,15
151,152,US-UT,15
152,153,US-UT,16
153,154,US-UT,16
154,155,US-UT,31
155,156,US-UT,78
156,157,US-UT,78
157,158,US-UT,18
158,159,US-UT,0
159,160,US-UT,44
160,161,US-UT,0
161,162,US-UT,65
162,163,US-UT,33
163,164,US-UT,50
164,165,US-UT,19
165,166,US-UT,19
166,167,US-UT,80
167,168,US-UT,49
168,169,US-UT,66
169,170,US-UT,67
170,171,US-UT,35
171,172,US-UT,20
172,173,US-UT,41
173,174,US-UT,34
174,175,US-UT,17
175,176,US-UT,33
176,177,US-UT,34
177,178,US-UT,87
178,179,US-UT,59
179,180,US-UT,19
180,181,US-UT,64
181,182,US-UT,100
182,183,US-UT,0
183,184,US-UT,20
184,185,US-UT,45
185,186,US-UT,0
186,187,US-UT,100
187,188,US-UT,59
188,189,US-UT,40
189,190,US-UT,41
190,191,US-UT,41
191,192,US-UT,42
192,193,US-UT,0
193,194,US-UT,24
194,195,US-UT,40
195,196,US-UT,0
196,197,US-UT,0
197,198,US-UT,42
198,199,US-UT,42
199,200,US-UT,48
200,201,US-UT,24
201,202,US-UT,82
202,203,US-UT,21
203,204,US-UT,0
204,205,US-UT,0
205,206,US-UT,23
206,207,US-UT,0
207,208,US-UT,0
208,209,US-UT,20
209,210,US-UT,20
210,211,US-UT,42
211,212,US-UT,21
212,213,US-UT,21
213,214,US-UT,0
214,215,US-UT,0
215,216,US-UT,21
216,217,US-UT,0
217,218,US-UT,0
218,219,US-UT,43
219,220,US-UT,0
220,221,US-UT,25
221,222,US-UT,25
222,223,US-UT,64
223,224,US-UT,42
224,225,US-UT,0
225,226,US-UT,22
226,227,US-UT,22
227,228,US-UT,26
228,229,US-UT,50
229,230,US-UT,21
230,231,US-UT,43
231,232,US-UT,43
232,233,US-UT,43
233,234,US-UT,0
234,235,US-UT,0
235,236,US-UT,0
236,237,US-UT,100
237,238,US-UT,0
238,239,US-UT,20
239,240,US-UT,40
240,241,US-UT,20
241,242,US-UT,0
242,243,US-UT,24
243,244,US-UT,38
244,245,US-UT,25
245,246,US-UT,0
246,247,US-UT,25
247,248,US-UT,0
248,249,US-UT,0
249,250,US-UT,0
250,251,US-UT,30
251,252,US-UT,25
252,253,US-UT,26
253,254,US-UT,0
254,255,US-UT,0
255,256,US-UT,32
256,257,US-UT,0
257,258,US-UT,0
258,259,US-UT,0
259,260,US-UT,25
260,261,US-UT,75
261,262,US-UT,0
262,263,US-UT,0
263,264,US-UT,0
264,265,US-UT,25
265,266,US-UT,25
